userid,timestamp,sensor01,sensor02,sensor03,sensor04
164425a0-1339-401f-af10-20878c5d677f,2021-03-16 00:00:00,-289.37,-148.95,-110.5,-95.3
f6049e98-9dbb-4bb6-a2b7-90c72d2348aa,2021-03-16 00:00:00,664.7,691.0,605.05,765.3
40c15082-6f50-4f28-a4b2-24d7256d6d28,2021-03-16 00:00:00,205.98,157.42,223.98,212.35
4b392b6c-e52f-49d8-ab70-a5e20b4de33c,2021-03-16 00:00:00,238.1,273.68,250.44,209.5
7a287f88-ed7d-4a92-8a84-7cebfe462ced,2021-03-16 00:00:00,907.22,435.45,771.34,593.06
8f26ef89-8d88-4137-bd12-240c8b3b70f3,2021-03-16 00:00:00,205.62,173.99,194.75,150.28
6b1ccba1-6e4c-409b-9dbe-5e3c9657af65,2021-03-16 00:00:00,344.44,239.94,221.62,140.78
be09b014-49f8-4d21-8703-46affc9b2159,2021-03-16 00:00:00,501.85,599.6,521.02,476.05
26da22a8-1f81-43dc-a2e2-57e6ffd9c0c2,2021-03-16 00:00:00,471.42,509.08,596.32,822.27
578c1de9-6135-4511-b624-3fcef72d32b5,2021-03-16 00:00:00,542.52,529.12,781.66,712.96
714c533a-230e-448f-a88e-250459a76dc5,2021-03-16 00:00:00,744.76,614.08,734.95,571.31
dcd1e06a-0fd4-48c5-b778-eb31b7bd055e,2021-03-16 00:00:00,293.45,168.82,316.7,188.57
1c7d20bc-eea1-4022-ac8c-23855119d88f,2021-03-16 00:00:00,209.11,319.72,296.25,165.42
d2849633-91a5-486f-aa94-05282eb9288a,2021-03-16 00:00:00,270.33,372.43,158.94,220.17
0f9ec80c-fda2-48bf-a506-718b206f5edd,2021-03-16 00:00:00,2344.29,1851.46,2685.12,2572.23
78ba449d-d67e-4eeb-9e3a-730ad7f0bdd2,2021-03-16 00:00:00,915.49,771.67,878.75,880.12
a62d755d-65d0-4724-a662-b6331366deb2,2021-03-16 00:00:00,380.06,545.86,640.79,610.44
bef2956f-bff4-4ce3-af0f-93dcc64dea7a,2021-03-16 00:00:00,236.62,180.9,215.27,165.3
85cd09c7-99ee-4a94-9007-a34758ef33af,2021-03-16 00:00:00,746.62,791.57,554.14,482.67
04a63a93-087d-48d4-a0f5-3c3689bd29cb,2021-03-16 00:00:00,148.43,195.25,329.62,244.09
3d83b9e7-0814-46db-a350-da6bde6568a4,2021-03-16 00:00:00,621.3,814.21,584.82,648.31
5e77da0c-ed9a-4bd5-bae7-d2977668dd26,2021-03-16 00:00:00,122.99,303.72,241.89,112.76
eb97ec50-8aeb-4833-8411-4f1311765a3d,2021-03-16 00:00:00,735.38,759.01,687.51,756.01
