userid,timestamp,sensor01,sensor02,sensor03,sensor04
164425a0-1339-401f-af10-20878c5d677f,2021-03-19 00:00:00,-147.64,-153.88,-33.77,-264.39
f6049e98-9dbb-4bb6-a2b7-90c72d2348aa,2021-03-19 00:00:00,858.95,821.38,700.72,683.54
40c15082-6f50-4f28-a4b2-24d7256d6d28,2021-03-19 00:00:00,260.13,192.21,259.96,265.39
4b392b6c-e52f-49d8-ab70-a5e20b4de33c,2021-03-19 00:00:00,122.58,243.66,178.53,174.02
7a287f88-ed7d-4a92-8a84-7cebfe462ced,2021-03-19 00:00:00,621.72,842.73,944.5,654.55
8f26ef89-8d88-4137-bd12-240c8b3b70f3,2021-03-19 00:00:00,191.94,203.01,340.39,170.62
6b1ccba1-6e4c-409b-9dbe-5e3c9657af65,2021-03-19 00:00:00,152.01,238.49,260.95,193.15
be09b014-49f8-4d21-8703-46affc9b2159,2021-03-19 00:00:00,549.15,610.87,557.46,583.39
26da22a8-1f81-43dc-a2e2-57e6ffd9c0c2,2021-03-19 00:00:00,849.12,633.19,661.31,795.02
578c1de9-6135-4511-b624-3fcef72d32b5,2021-03-19 00:00:00,484.78,735.07,715.08,735.42
714c533a-230e-448f-a88e-250459a76dc5,2021-03-19 00:00:00,416.53,418.69,666.91,523.26
dcd1e06a-0fd4-48c5-b778-eb31b7bd055e,2021-03-19 00:00:00,158.0,262.13,206.38,214.56
1c7d20bc-eea1-4022-ac8c-23855119d88f,2021-03-19 00:00:00,221.89,231.74,141.19,121.64
d2849633-91a5-486f-aa94-05282eb9288a,2021-03-19 00:00:00,165.79,193.0,382.08,180.16
0f9ec80c-fda2-48bf-a506-718b206f5edd,2021-03-19 00:00:00,2039.93,1959.51,2381.58,2802.52
78ba449d-d67e-4eeb-9e3a-730ad7f0bdd2,2021-03-19 00:00:00,324.05,736.76,804.47,676.09
a62d755d-65d0-4724-a662-b6331366deb2,2021-03-19 00:00:00,418.11,410.13,735.04,682.33
bef2956f-bff4-4ce3-af0f-93dcc64dea7a,2021-03-19 00:00:00,178.89,290.03,388.13,199.61
85cd09c7-99ee-4a94-9007-a34758ef33af,2021-03-19 00:00:00,882.94,651.96,468.17,491.41
04a63a93-087d-48d4-a0f5-3c3689bd29cb,2021-03-19 00:00:00,276.53,156.0,152.98,165.66
3d83b9e7-0814-46db-a350-da6bde6568a4,2021-03-19 00:00:00,486.81,705.0,749.23,592.3
5e77da0c-ed9a-4bd5-bae7-d2977668dd26,2021-03-19 00:00:00,329.91,369.94,291.95,302.67
eb97ec50-8aeb-4833-8411-4f1311765a3d,2021-03-19 00:00:00,890.45,953.8,475.91,820.07
3a715610-3555-4b67-9bc6-c191f94c20e5,2021-03-19 00:00:00,481.37,678.75,456.9,788.22
54e898ca-263a-4f45-a6c3-0bdc5df13d76,2021-03-19 00:00:00,1736.04,1222.1,2610.37,1962.94
cc67ae09-c481-4cda-a508-36c3323891d4,2021-03-19 00:00:00,277.38,196.47,132.46,340.71
eb4ecb08-845f-416d-9e48-a75f72458b7e,2021-03-19 00:00:00,2459.2,2002.96,1562.87,1390.81
06ad721c-b04f-40ed-8d18-a693167fd4b5,2021-03-19 00:00:00,211.72,192.11,160.76,260.2
34622958-27b0-4a08-989d-15acebcd9222,2021-03-19 00:00:00,601.71,600.08,390.82,628.31
8bdefe30-b17b-4c8f-b49c-08f3f9019d63,2021-03-19 00:00:00,336.19,314.42,231.79,173.84
733c3be4-b1b5-4a21-ab0b-af15b3558f21,2021-03-19 00:00:00,671.98,455.97,688.22,743.93
4b216a9d-1975-4604-a146-1198f416ee4b,2021-03-19 00:00:00,211.56,267.28,311.1,112.81
dd5ea78d-d613-4ea6-a483-f27fe873b95b,2021-03-19 00:00:00,527.88,715.42,630.01,612.83
732d99c5-f64c-46fb-989b-985321ae522d,2021-03-19 00:00:00,597.46,682.45,355.55,665.85
98f2c005-2b93-449b-8c63-9b4c15be586d,2021-03-19 00:00:00,2679.52,2728.42,1423.69,2565.96
36e10e36-f57f-4c92-b33a-d7076b36da9f,2021-03-19 00:00:00,255.47,240.43,323.56,136.86
3781f5cc-2168-4f1a-b42a-e276463ddc50,2021-03-19 00:00:00,122.41,398.3,352.44,154.96
076abe7a-d867-44e0-9eb9-5e86b5abc789,2021-03-19 00:00:00,790.74,531.63,441.58,591.64
15d40ceb-9a1f-4615-a7ad-b1c4c23d8aa2,2021-03-19 00:00:00,736.8,671.78,549.36,388.77
8acd20c7-d333-414a-b6ed-dcafd2fd9cde,2021-03-19 00:00:00,557.95,562.64,459.36,628.29
8a7b11c3-3afd-4cac-8816-6af949ee8528,2021-03-19 00:00:00,643.93,630.98,782.07,656.45
efb03a57-c55d-4144-ad27-62ecc28da909,2021-03-19 00:00:00,408.63,676.34,456.6,418.32
bf86dcd9-1bb0-4e45-87e4-fb2de7633e9f,2021-03-19 00:00:00,559.87,511.12,654.1,575.21
d287886f-9235-4d00-adbb-6f5b57570e10,2021-03-19 00:00:00,893.98,643.07,722.95,543.35
cd83b269-cb65-4b67-bfd8-b4f3b0fbcb65,2021-03-19 00:00:00,791.32,613.26,587.77,377.32
1386ce13-c5f8-439b-a02c-b9772098fbd8,2021-03-19 00:00:00,784.44,820.43,598.47,536.21
53dceded-8059-4ce3-a8b1-39c768135d06,2021-03-19 00:00:00,192.91,143.15,253.34,195.13
36729f63-95a9-47f4-b5fc-41ccd27388e8,2021-03-19 00:00:00,949.2,373.04,380.32,708.64
774bfb0e-9e00-4a23-96b3-39b40cde6643,2021-03-19 00:00:00,339.07,746.94,790.54,727.89
87429fa6-8aa9-4e56-a15b-57fffdfb80f4,2021-03-19 00:00:00,848.45,630.77,628.22,880.27
33326389-5e86-4f2f-8a57-ac0d987a1e43,2021-03-19 00:00:00,180.63,147.24,180.46,147.31
5f6a5626-baa4-40ee-92a9-f7828e945c8b,2021-03-19 00:00:00,2218.99,2806.67,2427.88,2823.61
7fc18086-14f7-4c42-b21e-ef7d67cea553,2021-03-19 00:00:00,649.21,743.34,632.04,937.98
74305130-05ab-4dca-a97c-71f3eb17ea38,2021-03-19 00:00:00,172.12,202.62,201.15,267.76
e612fc6e-b799-43f4-a1cc-17bafc09d4ef,2021-03-19 00:00:00,615.7,541.37,356.3,344.71
393338c2-7327-4e96-87ce-2a08916914ef,2021-03-19 00:00:00,580.46,790.26,774.99,532.38
bfa59f2e-500c-44e4-b322-20b126dfcceb,2021-03-19 00:00:00,217.01,172.34,238.44,173.06
c3531d65-0a15-42f5-9e3b-756a9eb940e3,2021-03-19 00:00:00,179.84,151.63,129.56,160.9
e2ad1f6e-39a4-4d50-8916-fa55615db757,2021-03-19 00:00:00,276.1,164.73,181.76,257.65
2dee518f-c573-4edf-905e-947dcb831243,2021-03-19 00:00:00,562.22,719.16,707.68,714.01
42714f71-41c1-45a2-9ef1-ebd721a123f4,2021-03-19 00:00:00,708.29,322.41,808.19,380.48
a4f08f2e-647f-4eb0-bc7e-1c4644029fe7,2021-03-19 00:00:00,560.55,622.33,770.17,591.22
aed1a815-a2bf-4780-93e2-f21426fdd2c5,2021-03-19 00:00:00,952.5,603.11,695.69,506.22
57dbddf9-4f10-4a6c-940a-66e89985f508,2021-03-19 00:00:00,716.14,437.92,583.35,543.7
4ba5034c-be51-4519-86fc-5aa550e87134,2021-03-19 00:00:00,781.7,699.87,696.76,656.88
dada4fe8-9c53-4c6d-a93b-0761a3bfda2e,2021-03-19 00:00:00,687.26,488.31,630.61,655.08
1efa9e18-fc6b-402c-be1a-ff8ac3e3e58d,2021-03-19 00:00:00,301.31,182.44,191.8,340.33
cc9d5595-fb1a-41fe-a1e1-e7f1fddaa0f2,2021-03-19 00:00:00,239.39,190.43,158.24,258.42
b6102108-54a4-46d3-9cb8-c1e7b44f51bc,2021-03-19 00:00:00,582.36,665.78,464.49,787.92
6b31f6b0-42b3-4b68-bf3a-175a55c989cd,2021-03-19 00:00:00,699.73,652.67,782.56,561.35
06aecdba-e691-4447-a5fe-2250044fc92d,2021-03-19 00:00:00,245.89,234.32,240.22,260.48
0476e62e-cf1a-4926-882d-34f15447e1f4,2021-03-19 00:00:00,280.0,148.78,116.83,252.79
fd2ed14a-6644-40fb-9efa-9c8166eef4d1,2021-03-19 00:00:00,743.87,623.56,375.22,584.09
