userid,timestamp,sensor
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 00:00:00,232.16
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 00:00:00,623.78
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 00:00:00,2444.12
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 00:00:00,67.05
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 01:00:00,190.6
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 01:00:00,701.55
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 01:00:00,1559.89
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 01:00:00,-293.47
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 02:00:00,219.27
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 02:00:00,700.87
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 02:00:00,1103.01
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 02:00:00,-124.08
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 03:00:00,207.48
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 03:00:00,432.56
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 03:00:00,2697.33
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 03:00:00,-38.03
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 04:00:00,172.92
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 04:00:00,543.75
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 04:00:00,1983.9
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 04:00:00,-71.37
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 05:00:00,148.79
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 05:00:00,746.01
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 05:00:00,2514.04
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 05:00:00,-123.16
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 06:00:00,283.48
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 06:00:00,877.74
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 06:00:00,2424.15
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 06:00:00,-158.23
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 07:00:00,223.0
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 07:00:00,700.41
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 07:00:00,2390.56
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 07:00:00,-128.87
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 08:00:00,248.75
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 08:00:00,712.75
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 08:00:00,1498.88
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 08:00:00,-120.47
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 09:00:00,209.02
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 09:00:00,766.15
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 09:00:00,2119.53
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 09:00:00,52.33
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 10:00:00,189.92
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 10:00:00,415.63
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 10:00:00,1572.22
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 10:00:00,-133.69
63e097bf-da74-4788-84db-70836d84a6e9,2021-06-02 11:00:00,150.21
13420040-1682-4fb1-bbfd-c14d6e068523,2021-06-02 11:00:00,738.28
0ebf095b-264f-4efe-9634-f2b1b744dc12,2021-06-02 11:00:00,2108.06
3477d9c3-a6e7-40b1-8b82-81dd89b21617,2021-06-02 11:00:00,-226.42
