userid,timestamp,sensor02,sensor03,sensor04
164425a0-1339-401f-af10-20878c5d677f,2021-04-19 00:00:00,3.08,-149.13,-229.46
f6049e98-9dbb-4bb6-a2b7-90c72d2348aa,2021-04-19 00:00:00,897.81,714.14,684.6
40c15082-6f50-4f28-a4b2-24d7256d6d28,2021-04-19 00:00:00,225.35,217.19,152.31
4b392b6c-e52f-49d8-ab70-a5e20b4de33c,2021-04-19 00:00:00,212.09,227.2,183.94
7a287f88-ed7d-4a92-8a84-7cebfe462ced,2021-04-19 00:00:00,553.46,419.13,715.47
8f26ef89-8d88-4137-bd12-240c8b3b70f3,2021-04-19 00:00:00,222.89,263.79,147.85
6b1ccba1-6e4c-409b-9dbe-5e3c9657af65,2021-04-19 00:00:00,279.12,185.73,202.87
be09b014-49f8-4d21-8703-46affc9b2159,2021-04-19 00:00:00,719.45,736.2,680.73
26da22a8-1f81-43dc-a2e2-57e6ffd9c0c2,2021-04-19 00:00:00,633.05,838.95,695.86
578c1de9-6135-4511-b624-3fcef72d32b5,2021-04-19 00:00:00,702.88,784.21,652.89
714c533a-230e-448f-a88e-250459a76dc5,2021-04-19 00:00:00,747.05,528.43,845.52
dcd1e06a-0fd4-48c5-b778-eb31b7bd055e,2021-04-19 00:00:00,187.56,174.97,153.12
1c7d20bc-eea1-4022-ac8c-23855119d88f,2021-04-19 00:00:00,354.11,300.35,188.69
d2849633-91a5-486f-aa94-05282eb9288a,2021-04-19 00:00:00,165.61,324.01,203.43
0f9ec80c-fda2-48bf-a506-718b206f5edd,2021-04-19 00:00:00,2700.03,1442.99,2113.28
78ba449d-d67e-4eeb-9e3a-730ad7f0bdd2,2021-04-19 00:00:00,679.41,664.72,420.82
a62d755d-65d0-4724-a662-b6331366deb2,2021-04-19 00:00:00,980.54,674.0,908.15
bef2956f-bff4-4ce3-af0f-93dcc64dea7a,2021-04-19 00:00:00,168.79,365.61,263.59
85cd09c7-99ee-4a94-9007-a34758ef33af,2021-04-19 00:00:00,395.96,681.29,653.28
04a63a93-087d-48d4-a0f5-3c3689bd29cb,2021-04-19 00:00:00,339.58,181.16,200.02
3d83b9e7-0814-46db-a350-da6bde6568a4,2021-04-19 00:00:00,450.81,857.03,685.39
5e77da0c-ed9a-4bd5-bae7-d2977668dd26,2021-04-19 00:00:00,253.47,254.59,372.0
eb97ec50-8aeb-4833-8411-4f1311765a3d,2021-04-19 00:00:00,488.65,904.09,490.08
3a715610-3555-4b67-9bc6-c191f94c20e5,2021-04-19 00:00:00,644.29,748.13,675.15
54e898ca-263a-4f45-a6c3-0bdc5df13d76,2021-04-19 00:00:00,2113.88,2587.47,1714.38
cc67ae09-c481-4cda-a508-36c3323891d4,2021-04-19 00:00:00,161.03,336.8,169.65
eb4ecb08-845f-416d-9e48-a75f72458b7e,2021-04-19 00:00:00,1889.66,2278.83,1617.49
06ad721c-b04f-40ed-8d18-a693167fd4b5,2021-04-19 00:00:00,137.02,309.82,170.38
34622958-27b0-4a08-989d-15acebcd9222,2021-04-19 00:00:00,732.04,540.57,777.54
8bdefe30-b17b-4c8f-b49c-08f3f9019d63,2021-04-19 00:00:00,123.75,141.51,166.96
733c3be4-b1b5-4a21-ab0b-af15b3558f21,2021-04-19 00:00:00,546.35,420.11,347.22
4b216a9d-1975-4604-a146-1198f416ee4b,2021-04-19 00:00:00,181.13,333.25,114.6
dd5ea78d-d613-4ea6-a483-f27fe873b95b,2021-04-19 00:00:00,631.31,837.5,707.12
732d99c5-f64c-46fb-989b-985321ae522d,2021-04-19 00:00:00,668.42,375.12,770.56
98f2c005-2b93-449b-8c63-9b4c15be586d,2021-04-19 00:00:00,2532.16,1500.81,1083.55
36e10e36-f57f-4c92-b33a-d7076b36da9f,2021-04-19 00:00:00,180.87,204.01,292.11
3781f5cc-2168-4f1a-b42a-e276463ddc50,2021-04-19 00:00:00,208.74,234.66,329.27
076abe7a-d867-44e0-9eb9-5e86b5abc789,2021-04-19 00:00:00,770.67,556.34,615.1
15d40ceb-9a1f-4615-a7ad-b1c4c23d8aa2,2021-04-19 00:00:00,647.93,685.09,612.73
8acd20c7-d333-414a-b6ed-dcafd2fd9cde,2021-04-19 00:00:00,667.68,478.01,675.93
8a7b11c3-3afd-4cac-8816-6af949ee8528,2021-04-19 00:00:00,719.68,716.69,777.49
efb03a57-c55d-4144-ad27-62ecc28da909,2021-04-19 00:00:00,794.23,439.84,811.78
bf86dcd9-1bb0-4e45-87e4-fb2de7633e9f,2021-04-19 00:00:00,506.84,527.03,925.83
d287886f-9235-4d00-adbb-6f5b57570e10,2021-04-19 00:00:00,536.51,553.17,711.84
cd83b269-cb65-4b67-bfd8-b4f3b0fbcb65,2021-04-19 00:00:00,815.33,788.93,522.79
